locus	chromosome	cM
1762262	1	1.621438283
1762487	1	1.621645304
1762867	1	1.621994937
1762894	1	1.62201978
1763023	1	1.622138471
1763337	1	1.622427379
1763397	1	1.622482585
1763853	1	1.622902145
1764203	1	1.623224177
1764250	1	1.623267421
1764544	1	1.623537927
1766159	1	1.625023871
1773212	1	1.631513261
1773523	1	1.631799408
1773921	1	1.632165604
1773979	1	1.632218969
1774008	1	1.632245652
1774060	1	1.632293496
1774100	1	1.6323303
1775970	1	1.634050867
1777739	1	1.635678504
1777795	1	1.635730029
1778341	1	1.636232398
1779046	1	1.636881061
1779059	1	1.636893022
1780113	1	1.637862796
1780492	1	1.63821151
1780614	1	1.638323761
1780730	1	1.638430491
1781481	1	1.639121478
1781482	1	1.639122398
1781765	1	1.639382784
1782870	1	1.640399482
1783159	1	1.640665388
1783693	1	1.641156716
1784207	1	1.641629642
1784257	1	1.641675646
1784331	1	1.641743733
1784726	1	1.642107168
1784916	1	1.642281985
1785017	1	1.642374914
1785053	1	1.642408037
1785565	1	1.642879123
1785601	1	1.642912246
1785636	1	1.642944449
1787737	1	1.644877557
1787873	1	1.645002689
1788041	1	1.645157264
1788283	1	1.645379925
1788845	1	1.645897015
1788974	1	1.646015707
1789069	1	1.646103115
1789086	1	1.646118757
1789357	1	1.646368101
1789507	1	1.646506115
1797915	1	1.654242225
1814336	1	1.66935101
1853012	1	1.704936381
1855127	1	1.70688237
1856963	1	1.708571653
1862329	1	1.713508852
1868308	1	1.719010066
1869297	1	1.719920034
1877330	1	1.727311111
1877385	1	1.727361716
1877517	1	1.727483167
1879940	1	1.729712544
1880737	1	1.730445855
1880854	1	1.730553505
1881000	1	1.730687838
1881046	1	1.730730162
1906171	1	1.753847404
1906902	1	1.754519989
1917473	1	1.764246253
1930169	1	1.775927706
1930656	1	1.776375789
1955367	1	1.799112114
1955706	1	1.799424024
1956213	1	1.799890509
1957710	1	1.801267883
1957996	1	1.801531028
1961650	1	1.804893035
1963039	1	1.806171038
1963665	1	1.806747014
1968624	1	1.811309737
1974011	1	1.816266257
1986112	1	1.827400257
2004854	1	1.84464457
2012323	1	1.851516716
2032226	1	1.869829252
2037310	1	1.874506986
2037885	1	1.875036037
2038181	1	1.875308383
2038362	1	1.875474919
2038707	1	1.87579235
2038747	1	1.875829154
2039914	1	1.876902898
2041069	1	1.877965601
2041758	1	1.878599542
2041960	1	1.8787854
2042542	1	1.879320892
2042588	1	1.879363216
2042887	1	1.879638323
2045940	1	1.882447356
2048396	1	1.884707095
2051388	1	1.887460002
2051854	1	1.887888763
2052360	1	1.888354328
2053932	1	1.889800709
2073516	1	1.907819736
2080303	1	1.914064382
2080787	1	1.914509705
2085525	1	1.918869088
2086634	1	1.919889467
2087508	1	1.920693625
2087842	1	1.921000934
2087869	1	1.921025777
2087963	1	1.921112265
2088034	1	1.921177592
2089103	1	1.922161167
2089532	1	1.922555885
2090677	1	1.923609387
2090845	1	1.923763962
2090911	1	1.923824688
2091264	1	1.92414948
2106253	1	1.937940697
2109446	1	1.940878542
2124268	1	1.954516105
2130299	1	1.960065163
2141215	1	1.970108857
2160467	1	1.987822415
2163058	1	1.990206366
2206095	1	2.029804246
2208064	1	2.031615902
2208110	1	2.031658226
2208361	1	2.031889168
2208723	1	2.03222224
2208738	1	2.032236042
2208891	1	2.032376815
2209018	1	2.032493667
2209493	1	2.032930709
2209577	1	2.033007997
2212250	1	2.035467395
2214796	1	2.037809942
2216436	1	2.039318889
2220233	1	2.042812467
2222903	1	2.045269106
2225979	1	2.0480993
2225994	1	2.048113101
2229084	1	2.050956177
2230204	1	2.051986677
2233272	1	2.054809511
2233883	1	2.055371685
2233913	1	2.055399288
2234009	1	2.055487617
2237235	1	2.058455824
2267039	1	2.085878164
2278655	1	2.09656592
2299372	1	2.115627409
2304015	1	2.119899383
2304094	1	2.11997207
2304257	1	2.120122045
2304729	1	2.120556327
2304907	1	2.120720103
2305089	1	2.120887559
2305899	1	2.121632831
2306739	1	2.122405706
2306864	1	2.122520717
2307011	1	2.12265597
2307256	1	2.122881392
2307287	1	2.122909915
2307299	1	2.122920956
2307503	1	2.123108654
2307557	1	2.123158339
2307572	1	2.123172141
2307656	1	2.123249428
2307716	1	2.123304633
2307776	1	2.123359839
2308190	1	2.123740756
2335633	1	2.148990764
2336671	1	2.149945817
2350084	1	2.162286974
2350154	1	2.16235138
2366224	1	2.177137214
2373247	1	2.183599001
2383777	1	2.19328754
2386982	1	2.196236426
2388373	1	2.19751627
2388426	1	2.197565035
2389227	1	2.198302026
2393371	1	2.202114876
2393547	1	2.202276812
2396613	1	2.205097805
2396980	1	2.205435478
2397044	1	2.205494364
2397293	1	2.205723466
2397549	1	2.205959009
2402507	1	2.210520811
2426455	1	2.232555108
2428231	1	2.234189187
2428782	1	2.234696156
2428902	1	2.234806567
2429342	1	2.235211406
2430177	1	2.23597968
2430645	1	2.236410282
2432072	1	2.237723249
2432204	1	2.237844701
2432839	1	2.238428958
2433162	1	2.238726147
2433824	1	2.239335246
2434032	1	2.239526624
2434193	1	2.239674759
2434502	1	2.239959066
2434648	1	2.240093399
2435524	1	2.240899397
2436563	1	2.24185537
2436613	1	2.241901375
2436759	1	2.242035708
2436947	1	2.242208684
2437044	1	2.242297933
2464234	1	2.267315159
2466317	1	2.269231705
2466931	1	2.26979664
2467146	1	2.269994459
2467212	1	2.270055185
2467213	1	2.270056105
2467326	1	2.270160075
2467352	1	2.270183997
2467463	1	2.270286127
2467797	1	2.270593437
2467981	1	2.270762734
2468515	1	2.271254061
2468961	1	2.271664421
2469048	1	2.271744469
2469465	1	2.272128146
2495243	1	2.295846206
2537494	1	2.334720896
2541628	1	2.338524545
2567388	1	2.362226043
2656764	1	2.444459938
2656839	1	2.444528945
2659838	1	2.447288293
2684876	1	2.470325487
2684934	1	2.470378852
2690443	1	2.475447623
2690894	1	2.475862584
2690973	1	2.475935271
2691333	1	2.476266503
2691510	1	2.476429359
2691547	1	2.476463402
2691698	1	2.476602335
2691818	1	2.476712746
2691832	1	2.476725627
2691875	1	2.476765191
2691906	1	2.476793714
2691995	1	2.476875602
2692052	1	2.476928047
2692275	1	2.477133227
2692690	1	2.477515064
2693262	1	2.478041355
2693948	1	2.478672536
2693949	1	2.478673456
2693968	1	2.478690938
2694039	1	2.478756264
2696689	1	2.481194501
2696762	1	2.481261667
2710467	1	2.49387149
2718851	1	2.501585518
2728627	1	2.51058031
2733651	1	2.515202839
2735093	1	2.516529607
2735966	1	2.517332845
2736430	1	2.517759767
2737161	1	2.518432352
2737208	1	2.518475596
2737790	1	2.519011088
2739438	1	2.520527395
2740904	1	2.521876246
2741008	1	2.521971935
2741192	1	2.522141232
2743231	1	2.524017294
2743237	1	2.524022814
2743683	1	2.524433174
2745178	1	2.525808707
2745489	1	2.526094855
2746148	1	2.526701194
2748162	1	2.528554254
2748511	1	2.528875365
2749982	1	2.530228816
2750443	1	2.530652977
2753153	1	2.533146419
2753253	1	2.533238428
2753420	1	2.533392083
2753437	1	2.533407724
2753579	1	2.533538377
2754393	1	2.53428733
2754809	1	2.534670087
2754931	1	2.534782338
2755651	1	2.535444802
2757273	1	2.536937187
2757727	1	2.537354907
2759860	1	2.539317457
2783035	1	2.560640525
2784254	1	2.561762114
2785043	1	2.562488064
2785084	1	2.562525788
2785164	1	2.562599395
2785300	1	2.562724527
2786453	1	2.56378539
2786664	1	2.563979529
2786666	1	2.563981369
2786763	1	2.564070618
2786781	1	2.564087179
2787316	1	2.564579427
2787353	1	2.564613471
2787361	1	2.564620831
2790601	1	2.56760192
2791748	1	2.568657263
2792341	1	2.569202876
2792470	1	2.569321567
2792495	1	2.569344569
2793045	1	2.569850618
2793398	1	2.57017541
2793722	1	2.570473519
2793822	1	2.570565528
2793823	1	2.570566448
2794007	1	2.570735744
2794231	1	2.570941844
2794243	1	2.570952885
2794299	1	2.57100441
2794527	1	2.571214191
2794651	1	2.571328282
2795103	1	2.571744162
2798050	1	2.574455665
2799670	1	2.57594621
2800744	1	2.576934385
2800988	1	2.577158887
2801033	1	2.577200291
2801303	1	2.577448715
2801392	1	2.577530603
2801490	1	2.577620772
2801859	1	2.577960285
2802038	1	2.578124981
2802118	1	2.578198588
2803112	1	2.579113157
2803615	1	2.579575962
2805116	1	2.580957015
2841734	1	2.614648843
2841908	1	2.614808938
2841953	1	2.614850342
2842574	1	2.615421718
2842597	1	2.61544288
2842602	1	2.61544748
2856790	1	2.628501706
2856792	1	2.628503546
2857772	1	2.629405234
2857944	1	2.629563489
2858234	1	2.629830315
2858834	1	2.630382369
2868630	1	2.639395563
2868829	1	2.63957866
2870265	1	2.640899909
2870385	1	2.641010319
2870582	1	2.641191577
2870693	1	2.641293707
2870877	1	2.641463003
2871215	1	2.641773993
2871341	1	2.641889925
2872083	1	2.642572631
2872788	1	2.643221294
2872808	1	2.643239696
2872868	1	2.643294901
2872901	1	2.643325264
2872955	1	2.643374949
2873371	1	2.643757706
2873415	1	2.64379819
2873674	1	2.644036493
2874263	1	2.644578425
2875654	1	2.645858269
2876380	1	2.646526254
2898164	1	2.666569478
2898260	1	2.666657807
2899396	1	2.667703028
2912814	1	2.680048785
2938324	1	2.703520261
2940361	1	2.705394483
2940752	1	2.705754238
2941896	1	4.254557907
2942172	1	4.254994514
2942336	1	4.255253947
2942391	1	4.255340952
2942484	1	4.255488069
2943091	1	4.256448288
2956347	1	4.277418078
2956835	1	4.278190049
2956949	1	4.278370387
2957027	1	4.278493776
2957119	1	4.278639312
2957197	1	4.278762701
2957225	1	4.278806994
2957263	1	4.278867107
2957366	1	4.279030043
2957417	1	4.279110721
2957527	1	4.279284731
2975213	1	4.307262378
3000304	1	4.346954064
3000340	1	4.347011013
3000374	1	4.347064798
3000386	1	4.347083781
3000742	1	4.34764694
3000850	1	4.347817787
3000858	1	4.347830442
3000892	1	4.347884227
3000925	1	4.34793643
3006004	1	4.355970947
3022676	1	4.382344539
3024344	1	4.384983163
3025283	1	4.386468576
3025433	1	4.386705863
3026503	1	4.388398505
3027023	1	4.389221098
3027350	1	4.389738383
3027386	1	4.389795331
3027433	1	4.389869681
3027578	1	4.390099058
3027672	1	4.390247757
3027744	1	4.390361655
3027798	1	4.390447078
3028248	1	4.391158937
3028392	1	4.391386732
3028816	1	4.392057462
3028953	1	4.392274183
3029066	1	4.392452939
3029193	1	4.392653841
3029484	1	4.393114177
3029682	1	4.393427395
3029810	1	4.393629879
3030087	1	4.394068068
3030107	1	4.394099707
3030388	1	4.394544223
3030410	1	4.394579025
3030549	1	4.39479891
3030600	1	4.394879588
3030655	1	4.394966593
3030753	1	4.39512162
3031077	1	4.395634159
3031195	1	4.395820824
3031369	1	4.396096076
3032277	1	4.39753245
3032651	1	4.398124084
3033639	1	4.39968701
3034562	1	4.401147112
3036819	1	4.404717482
3038764	1	4.407794295
3039159	1	4.408419149
3039955	1	4.409678349
3040129	1	4.409953601
3040288	1	4.410205125
3040442	1	4.410448739
3040896	1	4.411166926
3041902	1	4.412758327
3043589	1	4.415427007
3043823	1	4.415797174
3049465	1	4.424722306
3049539	1	4.424839368
3049754	1	4.425179478
3050286	1	4.426021054
3050295	1	4.426035291
3050610	1	4.426533593
3050714	1	4.426698111
3050993	1	4.427139464
3051014	1	4.427172684
3051141	1	4.427373586
3051320	1	4.427656748
3051431	1	4.42783234
3051480	1	4.427909854
3051591	1	4.428085446
3051694	1	4.428248382
3051883	1	4.428547363
3068949	1	4.455544227
3069814	1	4.456912579
3069997	1	4.457202068
3070011	1	4.457224215
3071297	1	4.45925855
3071916	1	4.460237752
3071986	1	4.460348485
3072198	1	4.46068385
3077567	1	4.469177121
3077868	1	4.469653276
3078255	1	4.470265475
3078384	1	4.470469541
3078555	1	4.470740048
3078969	1	4.471394958
3078983	1	4.471417105
3079026	1	4.471485127
3079048	1	4.471519929
3079131	1	4.471651227
3079292	1	4.471905915
3079356	1	4.472007157
3079430	1	4.472124218
3079704	1	4.472557661
3079994	1	4.473016415
3080008	1	4.473038562
3080098	1	4.473180934
3080682	1	4.474104769
3080759	1	4.474226576
3081193	1	4.474913124
3081693	1	4.475704079
3081936	1	4.476088483
3084160	1	4.479606649
3096358	1	4.498902779
3097217	1	4.500261639
3098125	1	4.501698012
3098593	1	4.502438346
3129978	1	4.552086569
3130301	1	4.552597525
3130799	1	4.553385316
3131339	1	4.554239547
3131366	1	4.554282259
3132356	1	4.555848349
3132758	1	4.556484277
3133014	1	4.556889245
3133098	1	4.557022126
3133332	1	4.557392292
3134328	1	4.558967874
3135326	1	4.56054662
3135363	1	4.56060515
3135386	1	4.560641534
3135464	1	4.560764923
3135620	1	4.561011701
3135627	1	4.561022774
3135702	1	4.561141418
3135753	1	4.561222095
3135771	1	4.561250569
3135774	1	4.561255315
3135818	1	4.561324919
3135915	1	4.561478364
3136125	1	4.561810565
3136209	1	4.561943446
3136402	1	4.562248754
3136465	1	4.562348414
3136883	1	4.563009652
3136956	1	4.563125132
3136969	1	4.563145697
3137138	1	4.563413039
3137160	1	4.563447841
3137334	1	4.563723093
3137372	1	4.563783206
3137526	1	4.56402682
3137799	1	4.564458681
3139257	1	4.566765105
3139364	1	4.566934369
3139556	1	4.567238096
3139652	1	4.567389959
3176048	1	4.62496513
3176272	1	4.625319477
3177455	1	4.627190876
3177571	1	4.627374377
3177656	1	4.62750884
3177885	1	4.627871097
3177888	1	4.627875843
3178539	1	4.628905666
3178708	1	4.629173008
3178832	1	4.629369165
3178951	1	4.629557412
3180816	1	4.632507673
3180824	1	4.632520328
3184357	1	4.638109214
3186213	1	4.641045237
3192799	1	4.651463692
3193315	1	4.652279957
3193955	1	4.653292379
3194281	1	4.653808082
3194698	1	4.654467738
3194935	1	4.65484265
3195100	1	4.655103665
3195597	1	4.655889874
3195831	1	4.656260041
3196002	1	4.656530547
3196084	1	4.656660264
3196167	1	4.656791562
3196231	1	4.656892805
3196301	1	4.657003538
3196742	1	4.65770116
3196979	1	4.658076073
3197129	1	4.658313359
3197164	1	4.658368726
3197186	1	4.658403528
3197323	1	4.65862025
3197493	1	4.658889174
3197705	1	4.659224539
3197744	1	4.659286233
3197913	1	4.659553576
3198001	1	4.659692784
3198395	1	4.660316056
3198507	1	4.66049323
3198534	1	4.660535942
3199210	1	4.661605312
3199222	1	4.661624295
3199277	1	4.6617113
3199384	1	4.661880565
3199679	1	4.662347228
3199885	1	4.662673101
3200079	1	4.662979992
3200515	1	4.663669704
3200545	1	4.663717161
3234896	1	4.718057327
3266945	1	4.768755938
3272368	1	4.777334632
3272787	1	4.777997452
3274235	1	4.780288057
3275289	1	4.781955389
3275462	1	4.782229059
3275628	1	4.782491656
3275962	1	4.783020014
3276366	1	4.783659105
3276556	1	4.783959668
3279036	1	4.787882803
3279095	1	4.787976136
3279179	1	4.788109016
3279439	1	4.788520312
3279470	1	4.788569352
3279559	1	4.788710142
3279603	1	4.788779746
3279688	1	4.788914208
3279836	1	4.78914833
3280203	1	4.789728891
3280447	1	4.790114877
3280587	1	4.790336344
3280639	1	4.790418604
3280724	1	4.790553066
3280768	1	4.79062267
3281004	1	4.790996
3281254	1	4.791391478
3281498	1	4.791777464
3281914	1	4.792435538
3282339	1	4.793107849
3282382	1	4.793175871
3282415	1	4.793228074
3282577	1	4.793484344
3282703	1	4.793683664
3283567	1	4.795050434
3284891	1	4.797144882
3286092	1	4.799044755
3286570	1	4.799800908
3286685	1	4.799982827
3349904	1	4.89998955
3350960	1	4.901660046
3352560	1	4.904191101
3352725	1	4.904452116
3352785	1	4.904547031
3353886	1	4.906288713
3354101	1	4.906628824
3354475	1	4.907220458
3354787	1	4.907714013
3354868	1	4.907842148
3354911	1	4.90791017
3354984	1	4.908025649
3355062	1	4.908149038
3355266	1	4.908471748
3355653	1	4.909083947
3355826	1	4.909357617
3355841	1	4.909381346
3355972	1	4.909588576
3356514	1	4.910445971
3356524	1	4.91046179
3356619	1	4.910612071
3357137	1	4.9114315
3358659	1	4.913839166
3359717	1	4.915512826
3360935	1	4.917439592
3361095	1	4.917692697
3361133	1	4.91775281
3361669	1	4.918600713
3362362	1	4.919696976
3362458	1	4.919848839
3363676	1	4.921775605
3364007	1	4.922299217
3364113	1	4.922466899
3364150	1	4.92252543
3364278	1	4.922727914
3364613	1	4.923257854
3365039	1	4.923931747
3365227	1	4.924229146
3365269	1	4.924295586
3365282	1	4.924316151
3365304	1	4.924350953
3365626	1	4.924860328
3365635	1	4.924874565
3366186	1	4.925746197
3366687	1	4.926538734
3366706	1	4.92656879
3367659	1	4.92807635
3367763	1	4.928240868
3367803	1	4.928304145
3367833	1	4.928351602
3368061	1	4.928712277
3368175	1	4.928892615
3368259	1	4.929025495
3368555	1	4.92949374
3368705	1	4.929731027
3368735	1	4.929778484
3368859	1	4.929974641
3368866	1	4.929985714
3368991	1	4.930183453
3369002	1	4.930200854
3369131	1	4.93040492
3369181	1	4.930484016
3369221	1	4.930547292
3369224	1	4.930552038
3369310	1	4.930688082
3369345	1	4.930743449
3369576	1	4.93110887
3369671	1	4.931259151
3369711	1	4.931322427
3369724	1	4.931342992
3371178	1	4.933643088
3372219	1	4.935289856
3372234	1	4.935313585
3372800	1	4.936208945
3373041	1	4.936590185
3373140	1	4.936746794
3374038	1	4.938167349
3374653	1	4.939140223
3374793	1	4.93936169
3374835	1	4.939428131
3374962	1	4.939629033
3375116	1	4.939872647
3375862	1	4.941052751
3375880	1	4.941081226
3375990	1	4.941255236
3376002	1	4.941274219
3397868	1	4.975864247
3398399	1	4.976704241
3398754	1	4.977265819
3398815	1	4.977362315
3398907	1	4.977507851
3399132	1	4.977863781
3399224	1	4.978009316
3399740	1	4.978825581
3403871	1	4.985360449
3403876	1	4.985368358
3403996	1	4.985558187
3404110	1	4.985738525
3404182	1	4.985852422
3404259	1	4.985974229
3404320	1	4.986070726
3404965	1	4.987091057
3405193	1	4.987451733
3405211	1	4.987480207
3405632	1	4.988146191
3405715	1	4.988277489
3405736	1	4.988310709
3405804	1	4.988418279
3406626	1	4.989718609
3406643	1	4.989745501
3406704	1	4.989841998
3408343	1	4.992434747
3408706	1	4.99300898
3408909	1	4.993330108
3409072	1	4.993587959
3409433	1	4.994159028
3409769	1	4.99469055
3412213	1	4.998556736
3432092	1	5.030003511
3434210	1	5.033353994
3434819	1	5.034317377
3434952	1	5.034527771
3436020	1	5.03621725
3437513	1	5.038579041
3437724	1	5.038912824
3438013	1	5.039369995
3438837	1	5.040673489
3439128	1	5.041133824
3439228	1	5.041292015
3439353	1	5.041489754
3439413	1	5.041584668
3439805	1	5.042204777
3440268	1	5.042937201
3440289	1	5.042970421
3441400	1	5.044727922
3441472	1	5.04484182
3443735	1	5.04842168
3443909	1	5.048696933
3444084	1	5.048973767
3444855	1	5.050193419
3445176	1	5.050701212
3445785	1	5.051664594
3446541	1	5.052860518
3446595	1	5.052945941
3446735	1	5.053167408
3448379	1	5.055768067
3449915	1	5.05819788
3451306	1	5.060398316
3451500	1	5.060705206
3451765	1	5.061124412
3451823	1	5.061216163
3452440	1	5.062192201
3452498	1	5.062283951
3466614	1	5.084614183
3467549	1	5.086093268
3467660	1	5.08626886
3468311	1	5.087298683
3468638	1	5.087815967
3468710	1	5.087929865
3468975	1	5.088349071
3469048	1	5.08846455
3469438	1	5.089081495
3469659	1	5.089431097
3469663	1	5.089437424
3469671	1	5.08945008
3469743	1	5.089563977
3469829	1	5.089700021
3469858	1	5.089745897
3469887	1	5.089791772
3470002	1	5.089973692
3470037	1	5.090029058
3470309	1	5.090459338
3474261	1	5.096711043
3474857	1	5.097653861
3474860	1	5.097658607
3474924	1	5.097759849
3556275	1	5.226449751
3564381	1	5.239272708
3598364	1	5.293030731
3598881	1	5.293848578
3599498	1	5.294824616
3645640	1	5.367817075
3645822	1	5.368104982
3645996	1	5.368380234
3646133	1	5.368596956
3646433	1	5.369071529
3646517	1	5.369204409
3646663	1	5.369435368
3647260	1	5.370379768
3647410	1	5.370617054
3647625	1	5.370957165
3647647	1	5.370991967
3647667	1	5.371023605
3647850	1	5.371313094
3647880	1	5.371360551
3647893	1	5.371381116
3648189	1	5.371849361
3648423	1	5.372219528
3648520	1	5.372372973
3648606	1	5.372509018
3648767	1	5.372763705
3648837	1	5.372874439
3648849	1	5.372893422
3649083	1	5.373263588
3649145	1	5.373361667
3649222	1	5.373483474
3649351	1	5.37368754
3649380	1	5.373733415
3649664	1	5.374182678
3649704	1	5.374245954
3649734	1	5.374293411
3649814	1	5.374419964
3649913	1	5.374576573
3649932	1	5.374606629
3649980	1	5.374682561
3649991	1	5.374699962
3650046	1	5.374786967
3650097	1	5.374867644
3650139	1	5.374934085
3650182	1	5.375002107
3650315	1	5.375212501
3650411	1	5.375364364
3650549	1	5.375582667
3651238	1	5.376672603
3651320	1	5.376802319
3651328	1	5.376814975
3651363	1	5.376870342
3651502	1	5.377090227
3651516	1	5.377112374
3651776	1	5.37752367
3651973	1	5.377835306
3654398	1	5.381671436
3664108	1	5.397031775
3664822	1	5.398161259
3664866	1	5.398230863
3664898	1	5.398281484
3664979	1	5.398409618
3665201	1	5.398760802
3665219	1	5.398789277
3665358	1	5.399009162
3665443	1	5.399143624
3665459	1	5.399168935
3665462	1	5.399173681
3665465	1	5.399178426
3665511	1	5.399251194
3665527	1	5.399276505
3665655	1	5.399478989
3665710	1	5.399565994
3665743	1	5.399618197
3665755	1	5.39963718
3665906	1	5.399876048
3666214	1	5.400363276
3666235	1	5.400396496
3666378	1	5.400622709
3666382	1	5.400629037
3666549	1	5.400893216
3666765	1	5.401234908
3666884	1	5.401423156
3667117	1	5.40179174
3667819	1	5.402902241
3699103	1	5.452390691
3699435	1	5.452915885
3699537	1	5.453077239
3699551	1	5.453099386
3699753	1	5.453418932
3699767	1	5.453441079
3700302	1	5.4542874
3701146	1	5.455622531
3701331	1	5.455915185
3701688	1	5.456479926
3701713	1	5.456519474
3701953	1	5.456899132
3702130	1	5.45717913
